Satellite	Code	a	e	ω	M	i	node	P	Papsis	Pnode	Ref.
Himalia	506	11439000.	0.160	321.1	78.3	28.4	64.2	249.9090	187.4	297.1	47
Elara	507	11710700.	0.212	129.9	346.9	27.8	112.8	258.8861	173.0	270.9	47
Pasiphae	508	23463200.	0.412	172.8	279.3	148.3	315.7	734.4215	60.6	79.2	47
Sinope	509	23679300.	0.262	354.3	157.4	157.3	308.0	744.5951	57.0	93.1	47
Lysithea	510	11699100.	0.117	48.3	328.5	27.7	9.2	258.5035	178.9	290.6	47
Carme	511	23139200.	0.261	6.5	259.5	164.6	115.5	719.2806	50.9	89.0	47
Ananke	512	21029500.	0.238	78.8	271.7	147.6	13.7	623.1097	80.8	115.5	47
Leda	513	11145200.	0.162	271.3	232.6	28.2	216.9	240.3264	194.9	309.4	47
Callirrhoe	517	23789400.	0.290	13.5	117.9	144.9	278.2	749.7910	70.3	92.7	47
Themisto	518	7397000.	0.257	236.3	289.1	44.3	202.7	129.9681	626.4	648.5	47
Megaclite	519	23640100.	0.421	309.9	116.1	149.9	292.2	742.7715	55.6	74.1	47
Taygete	520	23103400.	0.257	207.7	116.5	164.7	300.8	717.5917	52.0	91.3	47
Chaldene	521	22926300.	0.261	231.6	275.3	164.7	134.5	709.3625	47.3	82.7	47
Harpalyke	522	20887500.	0.239	104.3	255.4	147.8	35.6	616.7833	81.2	116.5	47
Kalyke	523	23298000.	0.261	240.5	224.9	164.7	37.7	726.7007	47.5	83.1	47
Iocaste	524	21062300.	0.223	91.4	182.0	148.7	268.9	624.5479	79.2	116.3	47
Erinome	525	23027200.	0.272	359.9	273.1	164.3	311.2	714.0542	47.5	82.4	47
Isonoe	526	22976300.	0.249	131.0	116.3	164.9	134.1	711.6604	53.2	93.9	47
Praxidike	527	20931100.	0.245	182.5	128.0	148.2	281.3	618.7229	82.5	119.1	47
Autonoe	528	23785200.	0.326	61.2	134.0	150.7	264.8	749.6097	62.8	90.4	47
Thyone	529	20972700.	0.235	105.1	242.5	147.6	240.8	620.5875	85.5	122.4	47
Hermippe	530	21103600.	0.220	277.2	158.6	150.2	330.3	626.3799	75.1	113.6	47
Aitne	531	23059400.	0.273	72.2	120.6	164.5	358.4	715.5396	49.8	86.4	47
Eurydome	532	22894500.	0.287	223.4	281.8	148.9	297.7	707.8569	66.9	95.5	47
Euanthe	533	20822900.	0.243	312.4	353.5	148.1	265.2	613.9278	81.1	116.9	47
Euporie	534	19261900.	0.148	109.5	56.4	145.5	63.4	546.1778	101.0	143.4	47
Orthosie	535	20897800.	0.294	244.7	161.1	144.2	212.4	617.2347	89.5	116.2	47
Sponde	536	23538700.	0.323	56.6	177.4	149.4	109.3	737.9542	58.7	82.8	47
Kale	537	23047800.	0.262	69.2	175.9	164.6	56.7	715.0160	49.1	85.8	47
Pasithee	538	22840800.	0.274	207.9	237.8	164.5	318.0	705.4090	52.6	91.3	47
Hegemone	539	23342600.	0.357	192.2	241.1	152.5	311.5	728.7743	53.9	78.0	47
Mneme	540	20815800.	0.240	50.1	236.1	147.8	0.9	613.6104	80.1	114.9	47
Aoede	541	23773100.	0.437	43.1	207.6	155.7	156.5	749.0708	52.6	75.0	47
Thelxinoe	542	20972300.	0.229	307.0	275.1	150.7	174.9	620.5458	73.6	111.7	47
Arche	543	23093200.	0.263	172.5	34.0	164.5	333.3	717.1056	51.0	89.0	47
Kallichore	544	23017100.	0.253	352.6	66.8	164.7	23.9	713.5931	49.1	86.3	47
Helike	545	20911400.	0.155	305.1	45.8	154.4	94.6	617.8625	73.5	121.6	47
Carpo	546	17039500.	0.415	90.5	336.6	53.3	52.1	454.4000	285.1	182.0	47
Eukelade	547	23062400.	0.274	290.1	234.2	164.7	200.4	715.6868	48.5	84.2	47
Cyllene	548	23650000.	0.421	174.6	153.3	146.8	253.6	743.2062	65.9	83.4	47
Kore	549	24203300.	0.338	135.3	40.6	141.7	324.2	769.4229	71.7	85.6	47
Herse	550	23146700.	0.258	344.1	123.1	164.4	299.5	719.6264	50.9	88.9	47
S2010_J_1	551	23185600.	0.256	175.6	183.4	164.5	284.7	721.4257	51.0	89.3	47
S2010_J_2	552	20786900.	0.244	28.8	292.5	148.0	357.3	612.3507	80.5	115.7	47
Dia	553	12257900.	0.232	164.1	320.9	29.1	293.9	277.2472	169.8	258.2	47
S2016_J_1	554	20796700.	0.245	298.5	215.3	145.1	247.7	612.7812	92.6	125.4	47
S2003_J_18	555	20332800.	0.102	86.2	252.5	145.7	166.8	592.3333	91.2	131.6	47
S2011_J_2	556	22903400.	0.358	262.9	297.6	151.7	24.9	708.2931	59.0	84.4	47
Eirene	557	23051300.	0.263	86.4	336.7	164.7	180.0	715.1910	50.7	88.6	47
Philophrosyne	558	22600200.	0.221	0.9	88.9	146.1	234.3	694.2042	75.6	105.8	47
S2017_J_1	559	23739600.	0.321	74.7	250.1	145.6	251.8	747.4382	72.8	95.8	47
Eupheme	560	20763400.	0.234	73.6	339.8	147.9	227.5	611.3160	85.3	122.9	47
S2003_J_19	561	23153100.	0.264	186.8	196.9	164.6	21.9	719.9222	51.6	90.1	47
Valetudo	562	18690100.	0.217	316.3	90.5	34.5	291.2	522.0743	106.3	147.1	47
S2017_J_2	563	22949600.	0.270	153.0	278.2	164.5	359.4	710.4208	46.7	81.0	47
S2017_J_3	564	20936500.	0.238	105.7	235.4	147.9	27.9	618.9653	77.0	110.9	47
Pandia	565	11479600.	0.178	188.7	158.5	28.9	249.8	251.2319	187.8	293.3	47
S2017_J_5	566	23202000.	0.261	292.5	69.3	164.7	42.3	722.1972	47.7	83.3	47
S2017_J_6	567	23251200.	0.333	15.5	146.0	149.6	312.8	724.4688	62.4	87.8	47
S2017_J_7	568	20960400.	0.235	288.7	353.0	147.4	264.9	620.0167	81.2	115.9	47
S2017_J_8	569	22819600.	0.259	330.5	349.4	164.8	97.3	704.4181	53.9	94.6	47
S2017_J_9	570	21764200.	0.197	276.4	243.3	155.4	245.3	656.0479	64.5	106.5	47
Ersa	571	11399400.	0.117	300.7	270.8	29.0	113.7	248.6153	192.6	306.2	47
S2011_J_1	572	23120800.	0.269	50.4	225.4	164.7	253.5	718.4153	51.7	90.1	47
S2003_J_2	55501	20992900.	0.225	170.6	42.3	150.1	348.4	621.4715	79.3	119.2	47
S2003_J_4	55502	22922300.	0.327	208.8	216.5	148.3	175.4	709.1229	69.2	95.5	47
S2003_J_9	55503	23195100.	0.268	288.4	359.8	164.7	46.3	721.8792	51.2	89.3	47
S2003_J_10	55504	23384400.	0.257	187.6	272.8	164.6	155.7	730.7375	51.0	89.4	47
S2003_J_12	55505	20959300.	0.235	66.1	160.7	150.0	54.1	619.9611	73.3	109.7	47
S2003_J_16	55506	20877500.	0.238	55.6	298.2	147.8	5.3	616.3444	83.7	120.1	47
S2003_J_23	55507	23824000.	0.306	256.6	140.6	144.4	30.9	751.3993	75.8	98.1	47
S2003_J_24	55508	22882400.	0.263	84.1	121.6	164.6	208.7	707.3347	53.4	93.2	47
S2011_J_3	55509	11716800.	0.192	134.7	359.4	27.6	123.3	259.0875	174.2	275.8	47
S2018_J_2	55510	11419700.	0.152	288.6	115.5	28.3	91.8	249.2750	187.8	298.9	47
S2018_J_3	55511	23400200.	0.268	177.5	279.0	164.9	135.7	731.4875	50.1	87.3	47
S2021_J_1	55512	20954700.	0.228	20.6	129.1	150.5	241.1	619.7687	78.1	118.4	47
S2021_J_2	55513	20926600.	0.242	25.9	110.8	148.1	269.5	618.5028	79.2	114.1	47
S2021_J_3	55514	20776600.	0.239	218.6	167.9	147.9	141.7	611.8736	84.0	120.7	47
S2021_J_4	55515	23019700.	0.265	140.5	218.9	164.6	129.9	713.7056	51.5	89.8	47
S2021_J_5	55516	23414600.	0.272	273.4	236.5	164.9	154.4	732.1528	50.6	88.1	47
S2021_J_6	55517	22870400.	0.271	146.2	208.5	164.9	87.2	706.7653	46.9	81.7	47
S2016_J_3	55518	22719300.	0.251	94.7	59.1	164.6	36.8	699.7583	53.4	93.9	47
S2016_J_4	55519	23113900.	0.294	249.4	217.5	147.1	203.2	718.0382	68.6	94.5	47
S2018_J_4	55520	16328500.	0.177	285.0	138.3	50.2	52.1	426.2646	297.2	239.7	47
S2022_J_1	55521	22744700.	0.257	232.4	42.2	164.5	310.9	700.9333	50.2	87.8	47
S2022_J_2	55522	23073400.	0.263	357.0	98.9	164.7	47.7	716.2104	48.3	84.3	47
S2022_J_3	55523	21015100.	0.248	351.6	271.7	148.1	233.1	622.4361	83.4	119.9	47
S2017_J_10	55525	21075800.	0.209	195.3	157.7	145.1	329.6	625.1493	91.1	125.6	47
S2017_J_11	55526	22991300.	0.268	25.5	236.9	164.8	134.9	712.3826	52.3	91.2	47
S2011_J_4	55527	11104600.	0.128	46.2	314.6	28.5	342.4	239.0521	198.7	317.5	51
S2018_J_5	55528	23269900.	0.261	292.4	82.9	164.9	189.4	725.3785	46.8	81.9	51
S2024_J_1	55529	23462100.	0.273	108.8	147.7	164.7	272.4	734.3764	50.0	86.9	51
S2011_J_5	55530	23527800.	0.251	90.5	66.6	164.6	43.7	737.4646	46.6	82.0	51
S2010_J_3	55531	23862900.	0.313	30.2	40.1	148.3	312.4	753.2771	62.1	86.4	52
S2010_J_4	55532	22793400.	0.278	161.9	80.4	164.6	147.5	703.1938	53.0	91.8	52
S2010_J_5	55533	23581000.	0.257	270.4	233.7	164.6	309.5	739.9875	47.7	83.7	52
S2010_J_6	55534	21489800.	0.297	73.2	87.8	149.9	279.1	643.6715	72.1	104.2	52
S2011_J_6	55535	23238700.	0.261	211.5	54.2	164.9	310.6	723.9340	49.0	85.8	52
S2017_J_12	55536	23270500.	0.257	330.7	273.2	164.8	236.7	725.3986	47.5	83.4	52
S2017_J_13	55537	22842700.	0.277	338.2	26.8	164.5	115.9	705.4972	50.8	88.0	52
S2017_J_14	55538	23412500.	0.436	150.2	100.3	142.7	294.2	732.0424	69.7	80.2	52
S2017_J_15	55539	23170300.	0.232	58.1	324.6	149.2	304.1	720.6535	66.1	97.7	52
S2017_J_16	55540	23007800.	0.268	178.6	148.8	164.7	4.7	713.1292	48.3	84.2	52
S2017_J_17	55541	11776100.	0.164	95.0	244.5	29.0	322.4	261.0660	182.7	286.4	52
S2017_J_18	55542	22923800.	0.254	238.8	40.6	164.9	39.9	709.2396	51.3	90.2	52
S2021_J_7	55543	23305900.	0.253	13.3	293.4	149.4	286.5	727.0104	66.4	97.6	52
S2021_J_8	55544	20978900.	0.243	34.6	85.0	147.1	132.0	620.8486	86.5	122.4	52

