Satellite	Code	a	e	ω	M	i	node	P	Papsis	Pnode	Ref.
Phoebe	609	12929400.	0.164	240.3	308.0	175.2	192.7	550.303910	468.321	741.483	36
Ymir	619	22955600.	0.338	45.3	167.5	172.3	204.5	1298.6819	154.5	267.8	48
Paaliaq	620	14997700.	0.378	237.6	318.2	48.5	353.2	685.7153	846.2	704.4	48
Tarvos	621	18216600.	0.522	282.9	64.5	37.8	95.7	917.9840	327.3	352.0	48
Ijiraq	622	11344700.	0.293	68.6	83.4	49.2	152.5	451.1201	1480.8	1223.0	48
Suttungr	623	19391900.	0.116	65.0	171.0	175.7	253.2	1008.2451	205.0	401.5	48
Kiviuq	624	11307400.	0.275	91.8	183.2	48.0	352.7	448.9076	1376.4	1214.7	48
Mundilfari	625	18588200.	0.211	305.4	299.0	167.1	79.2	946.2903	227.0	414.2	48
Albiorix	626	16329200.	0.482	62.8	155.0	36.8	111.1	779.0701	384.4	434.3	48
Skathi	627	15575400.	0.281	202.3	269.3	151.6	284.1	725.7313	374.9	561.8	48
Erriapus	628	17506900.	0.475	279.8	14.3	37.1	146.2	864.9236	362.1	407.8	48
Siarnaq	629	17881100.	0.308	68.4	62.7	47.8	64.0	892.6799	680.6	598.3	48
Thrymr	630	20330500.	0.467	92.2	216.2	175.0	247.3	1082.2292	166.6	263.3	48
Narvi	631	19285000.	0.441	177.9	111.5	142.2	179.0	999.9417	323.7	367.6	48
Aegir	636	20664400.	0.255	244.7	23.5	166.1	181.9	1109.1278	196.6	348.4	48
Bebhionn	637	17027300.	0.459	5.1	128.4	38.6	197.7	829.6437	409.2	451.0	48
Bergelmir	638	19268100.	0.145	133.9	255.7	158.8	207.9	998.6187	246.1	430.9	48
Bestla	639	20337800.	0.486	85.6	33.1	138.3	283.0	1082.9444	333.3	333.6	48
Farbauti	640	20290700.	0.249	343.6	9.0	156.2	138.0	1079.1243	230.5	374.4	48
Fenrir	641	22330800.	0.137	114.5	38.6	164.5	234.6	1245.9215	189.4	350.1	48
Fornjot	642	24936800.	0.213	321.9	53.5	170.0	269.3	1470.3618	150.5	278.6	48
Hati	643	19695000.	0.372	10.4	270.6	165.4	316.3	1032.0236	199.0	325.3	48
Hyrrokkin	644	18340900.	0.336	264.8	214.8	149.9	40.2	927.4569	296.4	418.0	48
Kari	645	22032100.	0.469	160.2	83.1	153.0	288.3	1220.9757	196.7	264.6	48
Loge	646	22919200.	0.191	20.5	32.1	168.1	333.0	1295.5243	161.8	299.8	48
Skoll	647	17623400.	0.463	186.1	181.2	159.4	294.0	873.5736	232.4	337.7	48
Surtur	648	22748000.	0.448	314.4	9.9	168.4	255.3	1281.1396	142.0	222.9	48
Jarnsaxa	650	19273500.	0.218	229.2	175.5	163.0	9.2	999.1271	232.1	410.1	48
Greip	651	18380000.	0.317	146.2	355.9	174.2	335.8	930.4389	212.7	376.1	48
Tarqeq	652	17751000.	0.144	72.2	292.8	48.7	93.3	882.8514	779.6	686.4	48
Gridr	654	19250600.	0.187	271.4	197.0	163.9	330.8	997.3319	225.9	407.9	48
Angrboda	655	20591500.	0.216	104.2	263.0	177.7	279.1	1103.1986	190.8	360.3	48
Skrymir	656	21447400.	0.437	68.1	68.9	175.6	177.7	1172.7215	152.5	247.4	48
Gerd	657	20947500.	0.517	307.2	49.5	174.4	260.4	1131.9062	147.3	222.9	48
S2004_S_26	658	26097500.	0.147	148.4	193.6	172.9	328.8	1574.2535	142.0	273.4	48
Eggther	659	19844600.	0.157	130.1	111.7	165.0	84.5	1043.8035	218.9	403.0	48
S2004_S_29	660	17063900.	0.485	309.5	244.1	38.6	157.9	832.2736	382.2	414.1	48
Beli	661	20703700.	0.087	263.5	191.7	158.9	258.7	1112.2687	220.2	392.1	48
Gunnlod	662	21141800.	0.251	24.7	311.4	160.4	293.3	1147.7354	210.0	356.2	48
Thiazzi	663	23577500.	0.511	303.2	334.7	158.8	73.1	1351.8319	144.9	201.4	48
S2004_S_34	664	24145800.	0.279	354.5	160.0	168.3	292.6	1400.9299	142.2	251.6	48
Alvaldi	665	21993800.	0.238	188.1	38.3	177.4	321.8	1217.8042	171.9	320.8	48
Geirrod	666	22259400.	0.539	349.6	202.2	154.4	127.9	1240.0465	177.2	229.6	48
S2004_S_31	65067	17497100.	0.159	253.9	261.8	48.0	82.5	863.9229	777.0	705.3	49
S2004_S_24	65070	23338200.	0.071	338.4	122.1	37.4	354.0	1331.3222	286.4	386.2	49
S2004_S_28	65077	21865900.	0.159	191.9	95.8	167.9	128.8	1207.1833	179.2	336.0	49
S2004_S_21	65079	23160900.	0.394	174.9	198.7	153.2	112.3	1316.1167	188.1	268.3	49
S2004_S_36	65081	23390800.	0.625	213.4	132.0	153.3	212.7	1335.8042	145.7	173.9	49
S2004_S_37	65082	15956300.	0.448	72.4	187.6	158.2	135.3	752.5465	284.6	413.8	49
S2004_S_39	65084	23192400.	0.100	223.3	83.8	165.9	168.9	1318.7417	174.4	328.7	49
S2004_S_7	65085	21327600.	0.511	54.9	116.9	164.8	323.8	1162.9264	162.5	237.0	49
S2004_S_12	65086	19801000.	0.337	88.1	10.9	164.7	306.0	1040.3896	199.0	331.8	49
S2004_S_13	65087	18453700.	0.265	355.4	51.9	169.0	217.8	936.0889	221.3	396.5	49
S2004_S_17	65088	19699000.	0.162	184.5	227.6	167.9	12.5	1032.3694	208.4	390.3	49
S2006_S_1	65089	18746300.	0.105	159.7	86.3	156.1	333.6	958.3236	278.3	477.4	49
S2006_S_3	65090	21353100.	0.432	191.6	125.3	156.1	213.3	1165.0194	190.1	273.4	49
S2007_S_2	65091	15939100.	0.232	46.4	10.0	174.0	107.3	751.3306	275.8	513.1	49
S2007_S_3	65092	19614400.	0.150	323.1	304.5	173.8	99.3	1025.6986	206.2	397.7	49
S2019_S_1	65093	11245400.	0.383	86.6	36.5	49.5	185.6	445.1701	1402.9	1111.8	49
S2019_S_2	65094	16560300.	0.279	103.2	185.1	173.3	95.3	795.6722	256.9	464.3	49
S2019_S_3	65095	17077400.	0.248	129.2	150.3	166.9	243.9	833.1917	261.1	466.7	49
S2020_S_1	65096	11338600.	0.337	73.2	2.1	48.2	161.7	450.7722	1327.3	1136.5	49
S2020_S_2	65097	17869000.	0.152	130.7	19.2	170.7	96.2	891.8576	240.2	457.9	49
S2004_S_40	65098	16075600.	0.297	127.5	291.4	169.2	37.9	760.9993	266.8	469.3	49
S2006_S_9	65100	14406700.	0.249	341.9	65.2	173.0	36.0	645.5771	321.4	590.7	49
S2007_S_5	65101	15835600.	0.104	44.4	23.2	158.4	128.9	744.0056	337.2	594.7	49
S2020_S_3	65102	18056800.	0.142	317.6	135.8	46.0	216.8	905.8410	640.2	639.8	49
S2019_S_4	65103	17951900.	0.408	247.0	217.8	170.1	301.4	898.0889	212.9	347.4	49
S2004_S_41	65104	18095400.	0.301	232.6	343.6	165.7	43.6	908.8924	230.2	396.0	49
S2020_S_4	65105	18236400.	0.496	157.7	178.7	40.1	67.8	919.5174	357.8	371.5	49
S2020_S_5	65106	18391000.	0.220	285.7	232.0	48.2	214.9	931.1889	686.8	610.5	49
S2007_S_6	65107	18545000.	0.168	19.2	347.8	166.5	324.1	942.9785	230.6	427.3	49
S2004_S_42	65108	18240700.	0.158	107.2	325.2	165.7	3.9	919.8847	242.5	448.7	49
S2006_S_10	65109	18979900.	0.151	79.7	173.5	161.6	350.8	976.3438	246.2	442.3	49
S2019_S_5	65110	19090100.	0.216	321.5	59.4	158.8	271.1	984.8722	249.9	424.7	49
S2004_S_43	65111	18935700.	0.432	234.0	14.5	171.1	191.9	972.8528	196.2	315.6	49
S2004_S_44	65112	19515400.	0.129	176.4	292.8	167.7	39.5	1017.9146	219.2	414.9	49
S2004_S_45	65113	19693700.	0.551	350.6	75.7	154.0	306.0	1031.8604	210.7	269.1	49
S2006_S_11	65114	19711900.	0.143	159.9	353.1	174.1	254.4	1033.3521	199.2	385.3	49
S2006_S_12	65115	19570300.	0.542	78.1	249.6	38.6	155.1	1022.2868	292.1	304.4	49
S2019_S_6	65116	18205600.	0.120	286.9	185.7	46.4	154.2	917.1056	654.0	647.0	49
S2006_S_13	65117	19953300.	0.313	254.7	248.5	162.0	44.4	1052.3160	216.5	359.2	49
S2019_S_7	65118	20185100.	0.233	6.3	336.0	174.2	226.6	1070.8007	197.4	367.3	49
S2019_S_8	65119	20287400.	0.311	144.6	31.8	172.8	168.6	1078.8604	187.1	330.8	49
S2019_S_9	65120	20359700.	0.433	316.4	244.7	159.5	114.2	1084.6194	189.5	282.3	49
S2004_S_46	65121	20513800.	0.249	298.1	209.2	177.2	281.1	1096.9882	187.8	348.3	49
S2019_S_10	65122	20700300.	0.248	352.9	149.5	163.9	274.7	1111.9924	204.4	358.2	49
S2004_S_47	65123	16050700.	0.291	295.4	25.2	160.9	294.8	759.2201	297.7	496.3	49
S2019_S_11	65124	20664200.	0.513	28.2	190.5	144.6	327.6	1109.1097	245.7	279.5	49
S2006_S_14	65125	21062300.	0.060	136.1	264.7	166.7	274.4	1141.2708	196.9	376.2	49
S2019_S_12	65126	20895000.	0.476	240.2	221.1	167.1	324.7	1127.5993	170.4	259.5	49
S2020_S_6	65127	21253300.	0.480	27.9	271.2	166.9	7.0	1156.8111	156.3	237.0	49
S2019_S_13	65128	20964500.	0.318	219.8	138.5	177.3	302.5	1133.2653	175.2	311.4	49
S2005_S_4	65129	11324500.	0.315	107.1	247.1	48.0	169.4	449.9250	1334.1	1161.1	49
S2007_S_7	65130	15931600.	0.217	149.6	63.4	169.3	3.8	750.7958	282.6	520.2	49
S2007_S_8	65131	17048900.	0.490	258.7	6.3	36.2	202.2	831.2111	354.7	403.1	49
S2020_S_7	65132	17394000.	0.500	298.8	215.8	161.4	175.7	856.5340	226.8	325.7	49
S2019_S_14	65133	17852800.	0.172	303.2	240.9	46.2	149.6	890.5868	649.3	639.6	49
S2019_S_15	65134	21191100.	0.257	17.9	302.9	157.8	22.0	1151.6611	214.1	352.4	49
S2005_S_5	65135	21364900.	0.588	284.6	9.9	169.5	84.7	1165.9562	137.8	193.0	49
S2006_S_15	65136	21799600.	0.117	224.8	313.6	161.1	12.2	1201.6924	203.8	368.5	49
S2006_S_16	65137	21721200.	0.204	282.9	62.5	164.1	165.4	1195.1285	188.0	337.3	49
S2006_S_17	65138	22384200.	0.425	149.4	206.6	168.7	274.1	1250.4639	158.2	253.2	49
S2004_S_48	65139	22137400.	0.374	286.6	195.0	161.9	194.7	1229.8632	173.2	275.3	49
S2020_S_8	65140	21967200.	0.252	45.0	181.2	161.8	41.8	1215.6063	186.2	319.9	49
S2004_S_49	65141	22399400.	0.453	199.0	19.2	159.8	221.2	1251.6847	169.5	249.1	49
S2004_S_50	65142	22345000.	0.450	197.8	71.5	164.0	175.9	1247.1917	152.9	233.1	49
S2006_S_18	65143	22760600.	0.131	62.5	14.5	169.5	47.6	1282.0917	166.1	317.1	49
S2019_S_16	65144	23265200.	0.250	280.6	351.8	162.0	206.7	1324.9458	177.9	306.5	49
S2019_S_17	65145	22722700.	0.546	317.0	40.5	155.5	125.3	1278.9618	158.6	207.0	49
S2019_S_18	65146	23139500.	0.509	304.5	340.4	154.6	230.6	1314.2674	169.4	225.5	49
S2019_S_19	65147	23044400.	0.458	305.8	335.8	151.8	248.3	1306.1604	179.3	239.4	49
S2019_S_20	65148	23677900.	0.354	198.6	281.1	156.0	176.6	1360.4674	177.1	269.2	49
S2006_S_19	65149	23800500.	0.467	19.2	195.9	175.5	281.1	1371.0201	132.3	209.3	49
S2004_S_51	65150	25207100.	0.201	73.4	85.1	171.2	293.7	1494.4076	136.6	255.6	49
S2020_S_9	65151	25408700.	0.531	171.0	46.4	161.4	15.0	1512.3840	119.9	167.7	49
S2004_S_52	65152	26446400.	0.291	292.6	333.0	165.4	204.7	1605.8868	125.8	217.1	49
S2007_S_9	65153	20174600.	0.360	125.3	240.3	159.3	269.4	1069.8069	212.2	332.9	49
S2004_S_53	65154	23279800.	0.240	284.3	37.3	162.6	215.7	1326.1840	177.5	309.0	49
S2020_S_10	65155	25315300.	0.296	213.5	158.8	165.6	243.6	1503.9681	135.8	234.3	49
S2019_S_21	65156	26439500.	0.155	16.7	346.4	171.9	342.8	1605.2799	138.9	265.6	49
S2006_S_20	65157	13193700.	0.206	77.4	153.1	173.1	60.9	565.7889	370.8	697.0	49
S2004_S_54	65158	11277500.	0.373	108.4	69.3	48.1	80.2	447.1410	1279.3	1085.2	46
S2004_S_55	65159	11294700.	0.260	80.0	59.6	48.9	196.6	448.1618	1490.5	1261.8	46
S2004_S_56	65160	13670200.	0.339	96.4	165.7	161.6	343.2	596.6938	366.9	596.6	46
S2004_S_57	65161	18150500.	0.263	60.9	202.7	167.9	39.1	913.0736	230.2	410.5	46
S2004_S_58	65162	18254500.	0.249	120.0	180.1	45.7	284.5	920.8035	592.2	582.7	46
S2004_S_59	65163	19170700.	0.262	222.1	282.6	167.3	125.2	991.1819	216.8	385.5	46
S2004_S_60	65164	19517000.	0.280	264.3	357.6	173.8	321.7	1018.1285	193.8	350.6	46
S2004_S_61	65165	20986900.	0.466	40.4	175.6	168.4	176.4	1135.0646	169.6	262.3	46
S2005_S_6	65166	18107300.	0.084	77.4	163.4	47.7	166.5	909.5785	719.1	673.8	46
S2005_S_7	65167	18502500.	0.565	132.7	181.1	34.6	269.8	939.7451	274.9	305.9	46
S2006_S_21	65168	14976500.	0.204	157.4	40.7	169.8	328.3	684.2764	308.9	573.7	46
S2006_S_22	65169	15109500.	0.246	71.7	254.1	172.0	231.1	693.4146	301.9	553.8	46
S2006_S_23	65170	18269700.	0.190	72.5	309.9	43.8	257.1	921.8632	555.2	598.4	46
S2006_S_24	65171	18210700.	0.352	39.8	10.3	165.9	204.8	917.5590	229.6	382.1	46
S2006_S_25	65172	18572400.	0.303	130.1	348.5	158.8	277.4	945.0681	245.1	397.0	46
S2006_S_26	65173	18619300.	0.248	2.5	201.0	171.9	147.8	948.6722	219.7	402.7	46
S2006_S_27	65174	19205700.	0.140	91.6	6.1	170.5	3.7	993.7889	219.7	420.2	46
S2006_S_28	65175	21955100.	0.210	242.2	98.4	172.9	152.8	1214.5257	176.9	331.8	46
S2006_S_29	65176	25212100.	0.239	301.4	101.5	156.2	82.4	1494.7833	175.7	286.7	46
S2007_S_10	65177	11364900.	0.367	94.2	23.6	45.8	287.1	452.3576	1105.0	1033.5	46
S2007_S_11	65178	17434400.	0.499	348.9	233.9	35.5	53.9	859.5264	342.1	392.2	46
S2019_S_22	65179	11305100.	0.369	100.5	223.0	47.3	21.1	448.7750	1223.6	1073.8	46
S2019_S_23	65180	11310200.	0.255	81.5	1.0	48.7	356.3	449.0806	1460.7	1253.3	46
S2019_S_24	65181	11360500.	0.345	74.7	79.3	46.7	205.3	452.0743	1199.1	1090.0	46
S2019_S_25	65182	11329400.	0.271	73.9	358.9	48.1	213.7	450.2181	1381.7	1214.6	46
S2019_S_26	65183	11390900.	0.365	111.3	164.1	48.1	119.7	453.8882	1268.7	1078.0	46
S2019_S_27	65184	16267000.	0.420	97.2	152.1	162.1	115.1	774.6333	264.9	407.6	46
S2019_S_28	65185	17496000.	0.199	95.6	307.9	158.4	268.3	864.0938	285.1	486.5	46
S2019_S_29	65186	17353900.	0.441	332.7	133.8	37.7	306.9	853.6229	377.4	429.8	46
S2019_S_30	65187	17709900.	0.107	5.3	187.8	168.3	356.8	879.9708	254.2	485.4	46
S2019_S_31	65188	17739100.	0.488	37.8	35.2	39.8	173.7	882.2410	373.9	392.4	46
S2019_S_32	65189	17960500.	0.276	281.4	20.1	46.2	218.1	898.7083	610.4	581.6	46
S2019_S_33	65190	18696100.	0.289	46.9	245.6	170.4	186.4	954.5340	209.0	371.6	46
S2019_S_34	65191	18446800.	0.536	226.7	78.5	37.6	169.4	935.4472	322.1	344.4	46
S2019_S_35	65192	18557800.	0.577	181.1	259.0	157.3	63.3	943.9993	200.7	260.2	46
S2019_S_36	65193	19903200.	0.161	278.1	145.8	166.9	353.4	1048.4188	215.1	400.4	46
S2019_S_37	65194	19996900.	0.404	355.3	135.8	149.9	273.4	1055.7771	256.7	346.2	46
S2019_S_38	65195	21998400.	0.399	303.7	138.3	163.0	216.6	1218.2743	176.5	277.8	46
S2019_S_39	65196	23784500.	0.098	327.0	92.5	174.5	273.1	1369.6437	149.5	293.4	46
S2019_S_40	65197	24087800.	0.088	242.4	347.6	161.8	44.4	1395.8771	165.8	303.6	46
S2019_S_41	65198	24493600.	0.257	40.0	320.7	157.1	11.4	1431.2979	166.7	272.4	46
S2019_S_42	65199	24111600.	0.121	84.5	351.4	163.2	318.2	1397.9750	172.4	317.1	46
S2019_S_43	65200	26664100.	0.277	108.2	306.2	165.3	116.0	1625.9000	131.4	228.8	46
S2019_S_44	65201	26796900.	0.512	332.7	330.6	172.6	223.0	1638.1104	111.3	168.3	46
S2020_S_11	65202	11295600.	0.372	110.4	95.9	48.2	94.2	448.2111	1293.2	1093.0	46
S2020_S_12	65203	11314500.	0.260	81.2	350.8	50.8	70.5	449.3271	1707.3	1306.1	46
S2020_S_13	65204	11415600.	0.373	96.4	230.4	48.0	41.6	455.3875	1248.6	1064.2	46
S2020_S_14	65205	16186200.	0.313	54.7	209.3	161.7	355.4	768.8625	285.5	472.4	46
S2020_S_15	65206	16729200.	0.462	275.8	141.7	37.1	338.2	807.8243	394.2	448.5	46
S2020_S_16	65207	16963400.	0.405	73.1	185.2	167.3	268.6	824.9229	243.0	392.2	46
S2020_S_17	65208	17094200.	0.378	287.2	359.0	148.9	210.9	834.4472	330.3	446.2	46
S2020_S_18	65209	17777900.	0.180	165.9	218.7	168.9	204.0	885.1153	247.4	462.5	46
S2020_S_19	65210	17726700.	0.159	65.5	80.4	48.1	56.1	881.0431	762.4	689.6	46
S2020_S_20	65211	17997300.	0.133	230.5	330.0	169.8	92.9	901.5250	238.2	455.2	46
S2020_S_21	65212	18862100.	0.307	188.0	95.5	169.9	328.3	967.2604	210.6	369.2	46
S2020_S_22	65213	19443000.	0.059	38.4	128.8	161.3	271.4	1012.2410	240.6	440.7	46
S2020_S_23	65214	19801500.	0.089	61.5	65.1	165.0	153.6	1040.3757	218.2	410.0	46
S2020_S_24	65215	20618300.	0.230	114.8	301.4	159.6	42.2	1105.4083	217.4	370.1	46
S2020_S_25	65216	20763700.	0.316	329.0	318.1	171.8	242.2	1117.0889	174.0	305.8	46
S2020_S_26	65217	21264400.	0.273	143.0	141.3	163.2	252.9	1157.7660	196.8	338.1	46
S2020_S_27	65218	21802300.	0.255	314.6	32.0	145.3	324.5	1202.0160	278.1	377.0	46
S2020_S_28	65219	21993700.	0.474	226.7	2.2	160.1	60.9	1217.8104	173.6	251.7	46
S2020_S_29	65220	22301400.	0.047	298.7	115.9	169.1	255.9	1243.4493	181.9	353.1	46
S2020_S_30	65221	21790700.	0.601	352.3	60.3	154.2	132.1	1201.0187	163.9	201.7	46
S2020_S_31	65222	22457300.	0.238	196.2	0.1	163.8	148.1	1256.5035	175.5	309.0	46
S2020_S_32	65223	21884100.	0.502	198.2	88.9	169.1	351.6	1208.8486	150.1	226.0	46
S2020_S_33	65224	22922500.	0.555	4.3	165.2	162.8	161.7	1295.8500	147.0	203.9	46
